;;
Spalte1;E-mail ;Notizen 
Schikaneder;office@schikaneder.at;Kultiger Neighbourhood-Club und zugleich ältestes durchgehend bespieltes Kino Wiens (seit 1906), div. Veranstaltungen, DJ-Lines, Ausstellungen, Arthouse-Kinoprogramm
Crown and Sword;pub@crownandsword.at;Pub Urig , Nette Atmospäre 
Hammond;bar@hammondbar.at;Modern , Edel , Coporate , Start - Up Vibes 
Eleyx;office@eleyx.com;Nachtclub , Modern , Nachteulen , angeschlossenes Restaurant
Plus43;info@plus43vie.com;Kleine Bar , Moderne Atmospäre , Cocktails 
Funky Monkey;office@funkymonkey.at ;Nachtlokal , Studenten & Junge Menschen , Party 
albertgasse39;info@albert.bar;Neighbourhoodlokal , Moderne Atmosphäre , Chillige Vibes 
Cafe Zipp;flora.schoenhofer@outlook.com;Metal , Rock and Roll , Beisl , Vibes Only 
Cafe Else;office@cafeelse.at;Nettes Lokal um die Ecke , Familärer Betrieb , Nachbarschaftslokal 
Pisco Latinbar;office@piscolatinbar.at;Lateinamerikanisches Lokal , Essen und Trinken , Cocktails 
Seiler's;kontakt@seilers.at;Kaminbar und Cafe , mehr Ruhige gemüthliche Vibes , Familär 
Heartbeat;office@heartbeatbar.at;Moderne Kreative Cocktails , Innenstadt - Lokal , Touristen 
Fritz von Stuwer;office@fritzvonstuwer.at;Nachbarschaftslokal , Nette Vibes, das highlight im Stuwer Viertel 
Cafe San Marco;office@sanmarco.at;Nachtlokal , Essen und Trinken , Super Pancakes 
Civediamo;wien@civediamo.bar;Weinbar , Bio - Wein , Innen - Stadt Lokal 
Unders;office@unders.at;UK Undergound Bar , Am Gürtel 
Wildling Foods;office@wildling-foods.at;Restaurant mit Fokus auf Regionalität und Nachhaltigkeit
Olinda Bar;info@olindabar.com;Modern , Edel , Nettes Lokal um die Ecke 
Gimlet;office@gimlet.at;Nachtlokal , Cocktails , im Gasometer 
Cafe Bar Rakete;servus@rakete.wien;Underground Bar , Modern & Kreativ , LGBTQ+ Welcome 
Grande Cocktailbar;reservierung@grandebar.at;Modern , Edel , Nettes Lokal um die Ecke 
Damenspitz;prost@damenspitz.wien;Nettes Lokal um die Ecke , Familärer Betrieb , Nachbarschaftslokal 
MEERU;office@meeru.at;Modern , Edel , Nettes Lokal um die Ecke 
