@id;@type;name;addr:street;addr:housenumber;addr:postcode;addr:city;amenity;cuisine;website;email;phone;contact:phone;contact:email;opening_hours;;;;;;;;;;;
46823888;node;Heidingers Gasthaus;Selzergasse;38;1150;Wien;restaurant;regional;;;;;;PH,Sa,Su off, Mo-Fr 17:30-22:00, Tu-Fr 11:30-14:30;;;;;;;;;;;
46823910;node;Pizzeria Ramazotti;MeiselstraÃŸe;13;1150;Wien;restaurant;pizza;;;;;;Mo-Fr 11:00-15:00;;;;;;;;;;;
46823914;node;Meiselmarkt Cafe-Pub;MeiselstraÃŸe;11;1150;Wien;cafe;;;;;;;Mo-Su 07:00-22:00;;;;;;;;;;;
46823935;node;Ohrid;HÃ¼tteldorfer StraÃŸe;77;1150;Wien;restaurant;barbecue;;;;;;Mo-Su 10:00-22:00;;;;;;;;;;;
46823962;node;Sefa Grill Restaurant & Cafe;HÃ¼tteldorfer StraÃŸe;66;1150;Wien;restaurant;;;;4,36602E+11;;;Mo-Su,PH 08:00-22:00;;;;;;;;;;;
55411636;node;Maya Garden;Handelskai;343;1020;Wien;restaurant;;https://maya.garden/;;;;;;;;;;;;;;;;
60648368;node;PhÃ¶nixhof;Neustiftgasse;55;1070;;restaurant;;http://phoenixhof.at/;;;+43 699 1733 1072;cafe@phoenixhof.at;"Sa, Su 18:00-24:00; Mo-Fr 18:00-01:00";;;;;;;;;;;
76469902;node;Pizzeria Eduardo;;;;;restaurant;pizza;;;;;;11:00-23:00;;;;;;;;;;;
76514684;node;Pizza Bizi;RotenturmstraÃŸe;4;1010;Wien;restaurant;pizza;https://www.pizzabizi.at/;;+43 1 5133705;;;Mo-Su,PH 11:00-24:00;;;;;;;;;;;
76515393;node;Korb;BrandstÃ¤tte;9;1010;Wien;cafe;;https://cafekorb.at/;;-5337173;;;Mo-Sa 08:00-24:00; PH 10:00-23:00; Su off;;;;;;;;;
76518712;node;Palmenhaus;;;;;restaurant;breakfast;regional;international;https://www.palmenhaus.at/impressum/;;;+43 1 533 1033;;"Mo-Fr 10:00-23:00; Sa, Su 09:00-23:00";;;;;;;;;
76656467;node;Gasthaus Wild;Radetzkyplatz;1;1030;Wien;restaurant;;;;;;;Mo-Sa 11:30-24:00, Su 11:30-22:30;;;;;;;;;;;
81609136;node;Magdalenenhof;;;;;restaurant;;;;;;;"easter-Oct 31 Mo-Su,PH 10:00-24:00; Oct 31-easter Mo-Tu off,We-Su,PH 10:00-24:00";;;;;;;;;;;
106061288;node;Herrgott aus Sta';Speckbachergasse;14;1160;Wien;restaurant;heuriger;http://www.herrgottaussta.at;;+43 1 486 02 30;;;We-Sa 15:00-23:00; Su 12:00-22:00;;;;;;;;;;
115513011;node;aÃ¯da;LandstraÃŸer HauptstraÃŸe;116;1030;Wien;cafe;coffee_shop;https://aida.at/;;+43 1 8908988219;;;"Mo-Fr 07:00-19:00; Sa 08:00-19:00; Su, PH 09:00-19:00; Jul-Aug Mo-Fr 07:00-18:00; Jul-Aug Sa 08:00-18:00; Jul-Aug Su, PH 09:00-18:00";;;;;;;;;;;
119371746;node;Salm BrÃ¤u;Rennweg;8;1030;Wien;restaurant;regional;austrian;local;https://www.salmbraeu.com/;office@salmbraeu.com;+43 1 7995992;;;Mo-Su 11:00-23:00;;;;;;;;;
126502432;node;Rocky Docky Western Steak House;RÃ¼ckertgasse;39;1160;Wien;restaurant;steak_house;;;;;;"Tu-Th 17:00-22:00; Fr,Sa 17:00-23:00; Su,Mo off";;;;;;;;;;;
138297090;node;Rosi;Sechshauser StraÃŸe;120;1150;Wien;restaurant;;;;;;;We 17:30-22:00; Th-Sa 09:00-22:00;;;;;;;;;;
139128641;node;Biergasthof Otto;Altmannsdorfer StraÃŸe;101;1120;Wien;restaurant;regional;;;;4318047650;otto@biergasthof-otto.at;Mo-Su 11:00-24:00;;;;;;;;;;;
146317179;node;Il sole;LiechtensteinstraÃŸe;96;1090;Wien;restaurant;pizza;italian;indian;;;;;;;;;;;;;;;
146317846;node;Kaffee-Konditorei Mayerhofer;;;;;cafe;cake;;;;;;"Mo-Th 08:00-20:00; Fr-Su,PH off";;;;;;;;;;;
146340019;node;The Highlander;Sobieskiplatz;4;1090;Wien;restaurant;regional;http://www.the-highlander.at/;;+43 1 3152794;;;Mo-Su 11:00-24:00;;;;;;;;;;;
154622635;node;Schrammel & Schrammel;;;;;restaurant;;;;;;;;;;;;;;;;;;
154622735;node;Keiner Stuben;ErdbergstraÃŸe;78;1030;Wien;restaurant;;;;;;;Mo-Fr 10:30-22:00; Su 10:30-21:00;;;;;;;;;;
217881130;node;Pizzeria Cipollino;RÃ¼ckertgasse;33;1160;Wien;restaurant;pizza;;;;;;"We-Mo,PH 11:00-22:00; Tu off";;;;;;;;;;;
223580185;node;Cookie;;;;;cafe;;;;;;;;;;;;;;;;;;
236858381;node;Sultans;Keinergasse;11;1030;Wien;restaurant;levantine;https://www.sultans.at;office@sultans.at;+43 (0)1 / 715 18 02;;;Mo-Sa 09:00-24:00;;;;;;;;;;;
244496511;node;Nguyens Phá»Ÿ House;Lerchenfelder StraÃŸe;46;1080;Wien;restaurant;vietnamese;;;;+43 1 9565324;;Mo-Sa 11:00-22:00;;;;;;;;;;;
244497017;node;MQ-Kantine;Museumsplatz;1;1070;Wien;restaurant;;https://mq-kantine.at/;kantine@schikaneder.at;+43 1 5238239;+43 1 5238239;;So-Tu 09:00-24:00, Fr-Sa 09:00-02:00;;;;;;;;;;;
244497023;node;CafÃ© Leopold;Museumsplatz;1;1070;Wien;cafe;;http://www.cafe-leopold.at/;Office@Cafe-Leopold.at;;;;"Mo-We,Su 10:00-04:00; Th-Sa 10:00-04:00";;;;;;;;;;;
244497161;node;Amerlingbeisl;Stiftgasse;8;1070;Wien;restaurant;regional;https://www.amerlingbeisl.at/;;;+43-1-526 1660;;Mo-Su 12:00-02:00;;;;;;;;;;;
244497172;node;Centimeter II;Stiftgasse;4;1070;Wien;restaurant;;https://centimeter.at/centimeter-am-spittelberg/;spittelberg@centimeter.at;+43 1 470060 642;;;"Mo-Th 09:00-24:00; Fr,Sa 09:00-01:00; Su,PH 09:00-24:00";;;;;;;;;;;
244497186;node;Wirr;Burggasse;70;1070;Wien;restaurant;;http://wirr.at/;office@wirr.at;4319294050;;;"Mo,Tu,We,Su 08:00-02:00;Th,Fr,Sa 08:00-04:00";;;;;;;;;;;
244522889;node;CafÃ© Eiles;JosefstÃ¤dter StraÃŸe;2;1080;Wien;cafe;cake;breakfast;coffee_shop;regional;https://www.cafe-eiles.at/;;+43 1 405 34 10;;office@cafe-eiles.at;"Mo-Fr 07:00-24:00; Sa,Su,PH 08:00-24:00";;;;;;;;
245495351;node;Kent;Brunnengasse;67;1160;Wien;restaurant;turkish;https://www.kentrestaurant.at/kent16/;;;;;Mo-Su,PH 06:00-02:00;;;;;;;;;;;
246836952;node;KÃ¤uzchen;Gardegasse;8;1070;Wien;restaurant;regional;http://kaeuzchen.at/;office@kaeuzchen.at;+43 1 5247882;;;Mo-Sa 16:00-02:00, Su, PH 16:00-24:00;;;;;;;;;;;
248529367;node;Il Panorama;;;;;restaurant;pizza;https://ilpanorama.at/;;;;;11:00-22:00;;;;;;;;;;;
249485841;node;Centimeter VII;WÃ¤hringer GÃ¼rtel;1;1180;Wien;restaurant;;https://centimeter.at;info@centimeter.at;+43 1 470 06 06 47;;;Mo-Su,PH 10:00-24:00;;;;;;;;;;;
249485842;node;Centimeter VI;Gersthofer StraÃŸe;51;1180;Wien;restaurant;;https://centimeter.at/;info@centimeter.at;+43 1 470060 646;;;"Mo-Th 09:00-24:00; Fr,Sa 09:00-01:00; Su,PH 09:00-24:00";;;;;;;;;;;
