Spalte1;E-mail ;Notizen ;subject;body;sent_status
Schikaneder;office@schikaneder.at;Kultiger Neighbourhood-Club und zugleich ältestes durchgehend bespieltes Kino Wiens (seit 1906), div. Veranstaltungen, DJ-Lines, Ausstellungen, Arthouse-Kinoprogramm;Bewerbung als Barkeeper im Schikaneder – Leidenschaft für Kultur und Gastfreundschaft;"Hallo liebes Team von Schikaneder,

ich möchte mich gerne bei euch vorstellen und mein Interesse an einer Mitarbeit in eurer einzigartigen Bar bekunden. Als gebürtiger Wiener mit Erfahrung im Bar- und Servicebereich reizt mich besonders die Kombination aus lebendigem Nachbarschaftsclub und dem kulturellen Flair, das euer Haus durch Kino, Ausstellungen und DJ-Lines ausstrahlt. Genau diese Mischung macht für mich das Besondere am Schikaneder aus, und ich würde mich freuen, Teil dieses kreativen Umfelds zu werden.

In meinen bisherigen Jobs als Barkeeper und im Service konnte ich nicht nur meine Kommunikationsstärke und Teamfähigkeit unter Beweis stellen, sondern auch in stressigen Situationen den Überblick bewahren und schnell neue Abläufe erlernen. Besonders viel Freude habe ich daran, Gästen einen persönlichen, entspannten Abend zu ermöglichen – sei es durch einen guten Drink oder das offene Ohr für ein nettes Gespräch. Meine Flexibilität an Abenden und Wochenenden passt ideal zu den Anforderungen eures Betriebs.

Neben meiner praktischen Erfahrung bringe ich auch eine Leidenschaft für Kunst und Film mit, was mir hilft, mich mit eurem Konzept und der Atmosphäre im Schikaneder wirklich zu identifizieren. Ich bin überzeugt, dass ich durch meine offene und zuverlässige Art einen wertvollen Beitrag für euer Team und die Gäste leisten kann.

Im Anhang findet ihr meinen Lebenslauf zur besseren Übersicht meiner bisherigen Stationen. Ich freue mich sehr über die Möglichkeit, euch persönlich kennenzulernen und mehr über die Arbeit bei euch zu erfahren.

Herzliche Grüße  
Niklas Geispitzheim";DRY_RUN
Crown and Sword;pub@crownandsword.at;Pub Urig , Nette Atmospäre ;Engagierter Barkeeper für euer Team im Crown and Sword;"Hallo liebes Team von Crown and Sword,

ich heiße Niklas, bin 24 Jahre alt und gebürtiger Wiener. Schon seit einiger Zeit bin ich auf der Suche nach einer Bar, die nicht nur durch ihre urige Atmosphäre überzeugt, sondern auch eine freundliche und persönliche Gastkultur lebt – genau das schätze ich am Crown and Sword besonders. Mit meiner Erfahrung als Barkeeper bei Mamas Bar und meiner Zeit im Service bei renommierten Lokalen wie Konstantin Filippou bringe ich ein gutes Gespür für Gastfreundschaft und einen souveränen Umgang auch in stressigen Momenten mit.

Ich arbeite sehr gerne direkt mit Gästen und schätze die Dynamik, die ein lebendiges Pub mit sich bringt. Dabei bin ich äußerst zuverlässig, teamorientiert und lerne neue Abläufe und Karten schnell – Eigenschaften, die mir helfen, mich rasch in ein bestehendes Team einzufügen und gemeinsam einen angenehmen Abend für die Gäste zu gestalten. Besonders am Herzen liegt mir, dass sich Besucher bei mir willkommen und aufgehoben fühlen, was ich als Teil eurer tollen Bar-Atmosphäre weitertragen möchte.

Flexibilität am Abend und an Wochenenden bringe ich mit, ebenso wie die Motivation, langfristig Teil eures Teams zu werden und nicht nur kurzfristig auszuhelfen. Ich freue mich darauf, meine Leidenschaft für Service und meine kommunikativen Stärken in einem urigen, aber dennoch lebendigen Umfeld wie eurem einzubringen.

Im Anhang findet ihr meinen Lebenslauf für weitere Details zu meinem Werdegang. Ich würde mich sehr über die Gelegenheit freuen, euch persönlich kennenzulernen und mehr darüber zu erfahren, wie ich das Crown and Sword bereichern kann.

Herzliche Grüße  
Niklas Geispitzheim  
niklas.geispitzheim3@gmail.com  
0677 64127769";DRY_RUN
Hammond;bar@hammondbar.at;Modern , Edel , Coporate , Start - Up Vibes ;Engagierter Barkeeper sucht neues Zuhause im Hammond-Team;"Hallo liebes Team von Hammond,

mein Name ist Niklas, ich bin 24 Jahre alt und lebe in Wien. Mit meiner bisherigen Erfahrung als Barkeeper bei Mamas Bar und meiner Tätigkeit im Servicebereich, unter anderem im Restaurant Konstantin Filippou, bringe ich nicht nur die nötigen Fachkenntnisse mit, sondern auch eine große Leidenschaft für den direkten Gästekontakt. Besonders schätze ich es, in einem modernen und dynamischen Umfeld zu arbeiten, in dem Teamgeist und ein professionelles Auftreten Hand in Hand gehen – genau wie ich es mir bei Hammond vorstelle.

Euer Konzept, das eine elegante Atmosphäre mit einer gewissen Frische und einer innovativen Start-up-Mentalität verbindet, spricht mich sehr an. Ich bin überzeugt, dass meine schnelle Auffassungsgabe sowie meine Fähigkeit, auch in stressigen Situationen den Überblick zu behalten, perfekt dazu passen. Ich freue mich darauf, meine kommunikativen Stärken einzubringen, um gemeinsam mit euch den Gästen unvergessliche Abende zu bereiten.

Da ich vor allem abends und an Wochenenden flexibel bin und eine längerfristige Anstellung suche, sehe ich bei euch die ideale Möglichkeit, mich sowohl persönlich als auch fachlich weiterzuentwickeln. Mein Ziel ist es, das Team durch Zuverlässigkeit und Engagement zu unterstützen und mit meiner offenen Art das Hammond-Erlebnis für die Gäste noch besonderer zu machen.

Im Anhang findet ihr meinen Lebenslauf für weitere Details zu meiner Erfahrung und Qualifikation. Ich würde mich sehr freuen, wenn wir uns bald persönlich kennenlernen könnten.

Herzliche Grüße  
Niklas Geispitzheim  
niklas.geispitzheim3@gmail.com  
0677 64127769";DRY_RUN
Eleyx;office@eleyx.com;Nachtclub , Modern , Nachteulen , angeschlossenes Restaurant;Initiativbewerbung als Barkeeper bei Eleyx – Begeisterung für Nachtleben und Service;"Hallo liebes Team von Eleyx,

ich möchte mich gerne bei euch als Barkeeper vorstellen und Teil eures modernen Nachtclubs werden. Mit meiner Erfahrung hinter der Bar und im Service, kombiniert mit meiner großen Freude am direkten Kontakt zu Gästen, glaube ich, dass ich gut zu eurem lebendigen Konzept passe. Besonders gefällt mir, dass ihr nicht nur eine Bar, sondern auch ein angeschlossenes Restaurant seid – das zeigt, wie vielfältig und anspruchsvoll der Gast bei euch betreut wird. Genau diese Vielseitigkeit reizt mich sehr.

In meinen vorherigen Jobs, etwa bei Mamas Bar und Extra_Würstel, habe ich gelernt, wie wichtig ein souveräner Umgang mit Stress und ein eingespieltes Team sind – gerade in den späten Stunden, wenn die Nachteulen kommen. Dabei behalte ich stets den Überblick und sorge dafür, dass sich alle Gäste willkommen und gut aufgehoben fühlen. Zudem lerne ich neue Karten und Abläufe sehr schnell, was mir hilft, mich rasch in neue Umgebungen einzufinden und das Team wirkungsvoll zu unterstützen.

Ich bin 24 Jahre alt, in Wien aufgewachsen und durch meine Flexibilität an Abenden und Wochenenden ideal für längere Einsätze bei euch geeignet. Über einen längeren Zeitraum möchte ich mich gerne weiterentwickeln und meine Leidenschaft für die Bararbeit bei Eleyx einbringen. Mein Lebenslauf ist dieser E-Mail angehängt, damit ihr einen genaueren Eindruck von meinem Werdegang bekommt.

Ich freue mich, von euch zu hören und vielleicht bald Teil eures Teams zu sein!

Liebe Grüße  
Niklas Geispitzheim";DRY_RUN
Plus43;info@plus43vie.com;Kleine Bar , Moderne Atmospäre , Cocktails ;Initiativbewerbung als Barkeeper bei Plus43;"Hallo liebes Team von Plus43,

mein Name ist Niklas, ich bin 24 Jahre alt und gebürtiger Wiener. Mit großer Begeisterung habe ich eure Bar entdeckt, die mit ihrer modernen Atmosphäre und dem Fokus auf kreative Cocktails genau meinen Geschmack trifft. Da ich bereits Erfahrung als Barkeeper sowie im Service sammeln konnte und den direkten Kontakt mit Gästen sehr schätze, möchte ich mich gerne bei euch vorstellen.

In meinen bisherigen Stationen, etwa bei Mamas Bar und im gehobenen Service des Restaurants Konstantin Filippou, habe ich gelernt, auch in stressigen Situationen den Überblick zu behalten und dabei freundlich und aufmerksam zu bleiben. Ich arbeite gerne im Team, bin kommunikativ und lerne neue Getränke- und Abläufe schnell – Eigenschaften, die ich bei Plus43 optimal einbringen möchte. Besonders reizt mich die Möglichkeit, in einer kleinen, modernen Bar zu arbeiten, in der man auf die Wünsche der Gäste individuell eingehen kann und die Atmosphäre entspannt bleibt.

Ich bin vor allem abends und am Wochenende flexibel und suche eine langfristige Anstellung, in der ich meine Leidenschaft für gute Cocktails und guten Service weiter ausbauen kann. Ich bin überzeugt, dass ich mit meiner Erfahrung und Motivation eine Bereicherung für euer Team und eure Gäste bin.

Meinen Lebenslauf habe ich dieser E-Mail angehängt und freue mich sehr, wenn wir uns persönlich kennenlernen können. Vielen Dank für eure Zeit und ich hoffe, bald von euch zu hören!

Herzliche Grüße  
Niklas Geispitzheim  
niklas.geispitzheim3@gmail.com  
0677 64127769";DRY_RUN
Funky Monkey;office@funkymonkey.at ;Nachtlokal , Studenten & Junge Menschen , Party ;Motivierte Unterstützung für euer Team im Funky Monkey;"Hallo liebes Team von Funky Monkey,

ich bin Niklas, 24 Jahre alt und in Wien zuhause. Eure Bar hat mich direkt angesprochen, weil ich genau die Mischung aus ausgelassener Partyatmosphäre und einem jungen, lebendigen Publikum schätze – da fühle ich mich richtig wohl. Mit meiner Erfahrung als Barkeeper und Servicekraft, unter anderem bei Mamas Bar und Extra_Würstel, bringe ich nicht nur fachliches Know-how, sondern auch viel Freude im Umgang mit Gästen mit.

Besonders schätze ich die direkte Kommunikation und den schnellen, freundlichen Service auch in stressigen Situationen – Eigenschaften, die gerade in einem Nachtlokal mit studentischem Publikum wichtig sind. Ich bin teamorientiert, zuverlässig und passe mich schnell an neue Abläufe an, was mir hilft, den Überblick zu behalten und Gäste rundum zufrieden zu stellen.

Meine Motivation ist es, langfristig Teil eines dynamischen Teams zu werden, das den Abend der Gäste unvergesslich macht. Flexibilität am Abend und am Wochenende bringe ich selbstverständlich mit und freue mich darauf, euer Team mit meiner Erfahrung und meiner Begeisterung für den Barbereich zu bereichern.

Im Anhang findet ihr meinen Lebenslauf für einen genaueren Überblick über meinen Werdegang. Ich freue mich sehr, von euch zu hören und vielleicht bald persönlich kennenzulernen.

Liebe Grüße  
Niklas Geispitzheim";DRY_RUN
albertgasse39;info@albert.bar;Neighbourhoodlokal , Moderne Atmosphäre , Chillige Vibes ;Motivation und Erfahrung für euer Team bei albertgasse39;"Hallo liebes Team von albertgasse39,

mit großem Interesse habe ich eure Bar als ein modernes, entspanntes Nachbarschaftslokal wahrgenommen, das besonderen Wert auf eine angenehme Atmosphäre legt. Genau diese Verbindung aus lockerer Stimmung und professionellem Service spricht mich sehr an und motiviert mich, mich bei euch als Barkeeper einzubringen.

Ich bin Niklas, 24 Jahre alt und in Wien geboren. Durch meine bisherigen Stationen als Barkeeper bei Mamas Bar sowie meine Erfahrung im Service, unter anderem im Restaurant Konstantin Filippou, habe ich gelernt, in stressigen Situationen Ruhe zu bewahren, freundlich und aufmerksam zu bleiben und schnell neue Abläufe zu verinnerlichen. Besonders schätze ich den direkten Kontakt mit Gästen und freue mich, wenn ich durch meine kommunikative und teamorientierte Art zur positiven Stimmung beitragen kann.

Eure moderne und gleichzeitig gemütliche Bar passt perfekt zu meinem Stil – ich möchte nicht nur Getränke ausschenken, sondern einen Ort mitgestalten, an dem sich Gäste wohlfühlen und gerne wiederkommen. Ich bin abends und am Wochenende flexibel und suche eine längerfristige Herausforderung, bei der ich mich mit Engagement und Zuverlässigkeit einbringen kann.

Im Anhang findet ihr meinen Lebenslauf für weitere Details zu meiner Erfahrung. Ich freue mich sehr auf die Möglichkeit, euch persönlich kennenzulernen und Teil eures Teams zu werden.

Herzliche Grüße  
Niklas Geispitzheim";DRY_RUN
Cafe Zipp;flora.schoenhofer@outlook.com;Metal , Rock and Roll , Beisl , Vibes Only ;Initiativbewerbung als Barkeeper im Cafe Zipp;"Hallo liebes Team von Cafe Zipp,

mein Name ist Niklas, ich bin 24 Jahre alt und in Wien geboren und aufgewachsen. Mit großem Interesse habe ich mich über euer Cafe Zipp informiert und finde eure Kombination aus authentischem Beisl-Flair und einer klaren musikalischen Ausrichtung – Metal und Rock ’n’ Roll – richtig spannend. Genau in so einem energiegeladenen und zugleich entspannten Umfeld möchte ich mein Können und meine Leidenschaft für die Bararbeit einbringen.

Ich habe bereits Erfahrung als Barkeeper und im Service gesammelt, unter anderem bei Mamas Bar und im Restaurant Konstantin Filippou. Besonders schätze ich die direkte Arbeit mit Gästen und den persönlichen Kontakt, der für mich das Herzstück eines gelungenen Abends ausmacht. Meine Stärken liegen darin, auch in stressigen Nächten den Überblick zu behalten, schnell neue Abläufe zu lernen und im Team verlässlich zusammenzuarbeiten. Die lockere, aber professionelle Atmosphäre bei euch passt ideal zu meinem Arbeitsstil und meiner Motivation.

Was mich besonders reizt, ist die Möglichkeit, Gäste nicht nur zu bedienen, sondern mit guter Laune und echtem Engagement das besondere „Vibe“-Gefühl eurer Bar zu vermitteln. Ich bin abends und am Wochenende flexibel und suche eine langfristige Position, bei der ich mich mit meinen Fähigkeiten voll einbringen kann.

Meinen Lebenslauf habe ich dieser E-Mail angehängt und freue mich sehr über die Gelegenheit, mich bei euch persönlich vorzustellen. Vielen Dank für eure Zeit und hoffentlich bis bald!

Beste Grüße  
Niklas Geispitzheim  
niklas.geispitzheim3@gmail.com  
0677 64127769";DRY_RUN
Cafe Else;office@cafeelse.at;Nettes Lokal um die Ecke , Familärer Betrieb , Nachbarschaftslokal ;Motivierte Verstärkung für euer Team im Cafe Else;"Hallo liebes Team von Cafe Else,

ich bin Niklas, 24 Jahre alt und gebürtiger Wiener, und möchte mich bei euch vorstellen, weil ich großes Interesse habe, Teil eures familiären Nachbarschaftslokals zu werden. Die entspannte und persönliche Atmosphäre, die euer Cafe ausstrahlt, spricht mich sehr an – ich schätze es, wenn Gäste sich willkommen fühlen und man als Team gemeinsam an einem Strang zieht.

Mit meiner Erfahrung als Barkeeper bei Mamas Bar sowie im Service bei Restaurants wie Konstantin Filippou und Extra_Würstel bringe ich eine gute Mischung aus Gastfreundschaft, Schnelligkeit und Stressresistenz mit. Ich arbeite gerne direkt mit Menschen, behalte auch in hektischen Momenten den Überblick und freue mich, meine Fähigkeiten in einem Lokal einzubringen, das auf ein familiäres Miteinander setzt. Flexibilität an Abenden und Wochenenden bringe ich selbstverständlich mit und suche eine langfristige Anstellung, bei der ich mich weiterentwickeln kann.

Ich bin überzeugt, dass ich mit meiner offenen und kommunikativen Art gut zu eurem Team passe und euren Gästen eine angenehme Zeit bei euch bereiten kann. Meinen Lebenslauf habe ich angehängt, damit ihr einen genaueren Eindruck von meinem Werdegang bekommt.

Ich freue mich sehr auf die Möglichkeit, euch persönlich kennenzulernen!

Herzliche Grüße  
Niklas Geispitzheim  
niklas.geispitzheim3@gmail.com  
0677 64127769";DRY_RUN
Pisco Latinbar;office@piscolatinbar.at;Lateinamerikanisches Lokal , Essen und Trinken , Cocktails ;Engagierter Barkeeper mit Leidenschaft für lateinamerikanische Cocktails sucht Einsatz bei Pisco Latinbar;"Hallo liebes Team von Pisco Latinbar,

mit großem Interesse habe ich mich über eure Bar informiert und finde die Kombination aus lateinamerikanischer Küche und kreativen Cocktails wirklich spannend. Ich bin Niklas, 24 Jahre alt, aus Wien, und bringe bereits Erfahrung hinter der Bar sowie im Service mit. Besonders reizt mich die Möglichkeit, in einem lebendigen und kulturell geprägten Umfeld wie eurem direkt mit Gästen zu arbeiten und dabei den Flair Lateinamerikas mitzugestalten.

Während meiner Zeit als Barkeeper bei Mamas Bar und Servicekraft in verschiedenen Lokalitäten habe ich gelernt, auch in stressigen Situationen den Überblick zu behalten und Gäste mit einem freundlichen und professionellen Auftreten zu begeistern. Ich bin flexibel, besonders abends und am Wochenende verfügbar, und finde es wichtig, mich schnell in neue Karten und Abläufe einzuarbeiten – eine Eigenschaft, die ich bei euch sicher gut einbringen kann.

Ich sehe mich als verlässlichen Teamplayer, der nicht nur die Gäste, sondern auch das Team unterstützt und mit seiner offenen Art zu einer angenehmen Arbeitsatmosphäre beiträgt. Die lateinamerikanischen Einflüsse eurer Bar finde ich besonders spannend, da sie nicht nur kulinarisch, sondern auch kulturell eine tolle Bühne bieten – etwas, das mich persönlich auch sehr interessiert.

Im Anhang findet ihr meinen Lebenslauf für einen genaueren Überblick über meine bisherigen Erfahrungen. Ich würde mich freuen, wenn ich euch in einem persönlichen Gespräch von meiner Motivation und meinem Potenzial überzeugen darf.

Herzliche Grüße  
Niklas Geispitzheim  
niklas.geispitzheim3@gmail.com  
0677 64127769";DRY_RUN
